,Sample,Study,Expression,Sample Type,Disease/Tissue,Study/Sample Type
16016,GTEX-11EQ9-2026-SM-5P9JI,GTEX,13.41,Normal Tissue,Minor Salivary Gland,GTEX: Normal Tissue
16023,GTEX-Y8DK-0526-SM-4TT3R,GTEX,12.79,Normal Tissue,Artery,GTEX: Normal Tissue
16027,GTEX-ZQG8-1326-SM-51MQW,GTEX,13.24,Normal Tissue,Nerve,GTEX: Normal Tissue
16031,GTEX-11OF3-1326-SM-5N9FJ,GTEX,13.11,Normal Tissue,Kidney,GTEX: Normal Tissue
16032,GTEX-Y8DK-0011-R10A-SM-4SOK1,GTEX,8.467,Normal Tissue,Brain,GTEX: Normal Tissue
16037,GTEX-13FH7-1626-SM-5J2O9,GTEX,10.72,Normal Tissue,Colon,GTEX: Normal Tissue
16039,GTEX-R45C-0926-SM-3GAD4,GTEX,12.52,Normal Tissue,Heart,GTEX: Normal Tissue
16042,GTEX-PW2O-0006-SM-2I3DV,GTEX,7.278,Normal Tissue,Whole Blood,GTEX: Normal Tissue
16043,GTEX-WFG8-0006-SM-3GIKS,GTEX,5.67,Normal Tissue,Whole Blood,GTEX: Normal Tissue
16044,GTEX-13W3W-1826-SM-5IJDE,GTEX,11.66,Normal Tissue,Esophagus,GTEX: Normal Tissue
16045,GTEX-13OW8-0011-R1a-SM-5L3HI,GTEX,10.96,Normal Tissue,Brain,GTEX: Normal Tissue
16048,GTEX-14753-0011-R6b-SM-5S2UD,GTEX,11.37,Normal Tissue,Brain,GTEX: Normal Tissue
16051,GTEX-12ZZX-0011-R11a-SM-5DUVJ,GTEX,8.711,Normal Tissue,Brain,GTEX: Normal Tissue
16052,GTEX-13QJC-0526-SM-5RQKB,GTEX,11.83,Normal Tissue,Lung,GTEX: Normal Tissue
16053,GTEX-13NYB-0326-SM-5IJDP,GTEX,12.98,Normal Tissue,Heart,GTEX: Normal Tissue
16056,GTEX-13X6K-0011-R5b-SM-5PNUE,GTEX,10.89,Normal Tissue,Brain,GTEX: Normal Tissue
16060,GTEX-WOFL-0126-SM-3MJG2,GTEX,13.02,Normal Tissue,Skin,GTEX: Normal Tissue
16064,GTEX-13N2G-0011-R6b-SM-5MR3P,GTEX,10.83,Normal Tissue,Brain,GTEX: Normal Tissue
16065,GTEX-12126-1126-SM-5P9GP,GTEX,10.8,Normal Tissue,Pituitary,GTEX: Normal Tissue
16068,GTEX-ZLV1-1326-SM-4WWER,GTEX,11.16,Normal Tissue,Colon,GTEX: Normal Tissue
16069,GTEX-XUW1-0226-SM-4BOOS,GTEX,11.69,Normal Tissue,Uterus,GTEX: Normal Tissue
16070,GTEX-12126-0526-SM-5PNW4,GTEX,11.26,Normal Tissue,Muscle,GTEX: Normal Tissue
16071,GTEX-W5WG-1326-SM-4LMI9,GTEX,11.87,Normal Tissue,Uterus,GTEX: Normal Tissue
16073,GTEX-ZDXO-0011-R5a-SM-4WKG5,GTEX,11.47,Normal Tissue,Brain,GTEX: Normal Tissue
16076,GTEX-WWYW-0008-SM-4MVPF,GTEX,11.92,Cell Line,Cells,GTEX: Cell Line
16079,GTEX-131XH-0006-SM-5O98V,GTEX,9.951,Normal Tissue,Whole Blood,GTEX: Normal Tissue
16081,GTEX-N7MS-0011-R6a-SM-2HMJ4,GTEX,9.544,Normal Tissue,Brain,GTEX: Normal Tissue
16084,GTEX-WOFL-0726-SM-3MJG4,GTEX,12.55,Normal Tissue,Thyroid,GTEX: Normal Tissue
16085,GTEX-1399T-0011-R4b-SM-5DUVX,GTEX,9.877,Normal Tissue,Brain,GTEX: Normal Tissue
16086,GTEX-O5YV-1826-SM-2YUNI,GTEX,13.61,Normal Tissue,Nerve,GTEX: Normal Tissue
16092,GTEX-1477Z-1526-SM-5SI9V,GTEX,13.03,Normal Tissue,Nerve,GTEX: Normal Tissue
16093,GTEX-WQUQ-1626-SM-4OOSH,GTEX,13.83,Normal Tissue,Esophagus,GTEX: Normal Tissue
16095,GTEX-NPJ7-0011-R4a-SM-2I3GJ,GTEX,10.37,Normal Tissue,Brain,GTEX: Normal Tissue
16097,GTEX-WQUQ-2526-SM-4MVNO,GTEX,11.75,Normal Tissue,Colon,GTEX: Normal Tissue
16102,GTEX-13OVH-0011-R3a-SM-5KM49,GTEX,9.714,Normal Tissue,Brain,GTEX: Normal Tissue
16104,GTEX-P44G-0011-R4A-SM-2I3FB,GTEX,10.84,Normal Tissue,Brain,GTEX: Normal Tissue
16105,GTEX-146FH-1626-SM-5NQ9H,GTEX,12.01,Normal Tissue,Esophagus,GTEX: Normal Tissue
16116,GTEX-13D11-0226-SM-5LZXL,GTEX,12.99,Normal Tissue,Thyroid,GTEX: Normal Tissue
16117,GTEX-ZV6S-0926-SM-57WGB,GTEX,10.79,Normal Tissue,Stomach,GTEX: Normal Tissue
16119,GTEX-13PDP-0011-R6b-SM-5O9D5,GTEX,10.13,Normal Tissue,Brain,GTEX: Normal Tissue
16120,GTEX-145LV-1226-SM-5S2QH,GTEX,13.44,Normal Tissue,Prostate,GTEX: Normal Tissue
16121,GTEX-14ABY-2126-SM-5QGQZ,GTEX,13.27,Normal Tissue,Breast,GTEX: Normal Tissue
16124,GTEX-ZE9C-2826-SM-5S2MO,GTEX,10.19,Normal Tissue,Adipose,GTEX: Normal Tissue
16125,GTEX-1122O-0626-SM-5N9B9,GTEX,13.0,Normal Tissue,Heart,GTEX: Normal Tissue
16127,GTEX-X4LF-0226-SM-4QAS8,GTEX,9.627,Normal Tissue,Spleen,GTEX: Normal Tissue
16128,GTEX-YJ89-2926-SM-5P9IT,GTEX,9.339,Normal Tissue,Brain,GTEX: Normal Tissue
16138,GTEX-Y114-1126-SM-4TT7V,GTEX,11.78,Normal Tissue,Esophagus,GTEX: Normal Tissue
16140,GTEX-P4PQ-0008-SM-48TDX,GTEX,11.24,Cell Line,Cells,GTEX: Cell Line
16141,GTEX-13NYC-2826-SM-5K7WR,GTEX,9.49,Normal Tissue,Brain,GTEX: Normal Tissue
16142,GTEX-145MH-1526-SM-5LUAU,GTEX,12.01,Normal Tissue,Artery,GTEX: Normal Tissue
16143,GTEX-13NZ9-2026-SM-5KM1U,GTEX,11.34,Normal Tissue,Adipose,GTEX: Normal Tissue
16144,GTEX-N7MS-0011-R7a-SM-2HMKN,GTEX,9.863,Normal Tissue,Brain,GTEX: Normal Tissue
16147,GTEX-111FC-1926-SM-5GZYC,GTEX,11.25,Normal Tissue,Testis,GTEX: Normal Tissue
16149,GTEX-N7MS-0526-SM-4E3JP,GTEX,13.67,Normal Tissue,Nerve,GTEX: Normal Tissue
16156,GTEX-Y5V6-1226-SM-4VDTE,GTEX,10.41,Normal Tissue,Esophagus,GTEX: Normal Tissue
16158,GTEX-WL46-2926-SM-3LK82,GTEX,8.466,Normal Tissue,Brain,GTEX: Normal Tissue
16162,GTEX-SUCS-1426-SM-4DM5W,GTEX,12.1,Normal Tissue,Pancreas,GTEX: Normal Tissue
16168,GTEX-13SLW-0011-R2b-SM-5O9C6,GTEX,13.22,Normal Tissue,Brain,GTEX: Normal Tissue
16172,GTEX-U3ZN-0008-SM-4DXTL,GTEX,11.4,Cell Line,Cells,GTEX: Cell Line
16177,GTEX-13FTZ-0226-SM-5K7X6,GTEX,12.07,Normal Tissue,Heart,GTEX: Normal Tissue
16179,GTEX-ZPIC-0005-SM-4WWEB,GTEX,8.017,Normal Tissue,Whole Blood,GTEX: Normal Tissue
16180,GTEX-ZZPU-2726-SM-5NQ8O,GTEX,10.02,Normal Tissue,Adipose,GTEX: Normal Tissue
16184,GTEX-1269C-2726-SM-5EGJ4,GTEX,10.48,Normal Tissue,Adipose,GTEX: Normal Tissue
16190,GTEX-ZAJG-3026-SM-5HL92,GTEX,8.289,Normal Tissue,Brain,GTEX: Normal Tissue
16194,GTEX-OIZH-1426-SM-3NB1O,GTEX,13.18,Normal Tissue,Colon,GTEX: Normal Tissue
16196,GTEX-12WSB-0626-SM-59HJO,GTEX,10.24,Normal Tissue,Breast,GTEX: Normal Tissue
16197,GTEX-13S7M-1826-SM-5RQK6,GTEX,12.18,Normal Tissue,Stomach,GTEX: Normal Tissue
16199,GTEX-144GM-1326-SM-5LU5E,GTEX,9.394,Normal Tissue,Liver,GTEX: Normal Tissue
16200,GTEX-SIU8-0426-SM-4BRUE,GTEX,12.38,Normal Tissue,Artery,GTEX: Normal Tissue
16202,GTEX-131XF-2826-SM-5EGKH,GTEX,12.2,Normal Tissue,Minor Salivary Gland,GTEX: Normal Tissue
16207,GTEX-13D11-0526-SM-5LZYM,GTEX,10.81,Normal Tissue,Adipose,GTEX: Normal Tissue
16208,GTEX-PX3G-0426-SM-48U1C,GTEX,13.01,Normal Tissue,Artery,GTEX: Normal Tissue
16210,GTEX-PWCY-1326-SM-48TCU,GTEX,11.31,Normal Tissue,Ovary,GTEX: Normal Tissue
16211,GTEX-Y8LW-0326-SM-4VBQ9,GTEX,11.8,Normal Tissue,Lung,GTEX: Normal Tissue
16215,GTEX-13S86-1226-SM-5S2OA,GTEX,10.3,Normal Tissue,Breast,GTEX: Normal Tissue
16220,GTEX-RTLS-0226-SM-2TF5E,GTEX,10.02,Normal Tissue,Adipose,GTEX: Normal Tissue
16221,GTEX-12WSD-1326-SM-5GCNU,GTEX,12.84,Normal Tissue,Artery,GTEX: Normal Tissue
16223,GTEX-13VXT-1926-SM-5K7UO,GTEX,12.99,Normal Tissue,Skin,GTEX: Normal Tissue
16224,GTEX-XOTO-0826-SM-4B65O,GTEX,11.5,Normal Tissue,Liver,GTEX: Normal Tissue
16225,GTEX-U3ZN-0006-SM-3DB7Y,GTEX,7.422,Normal Tissue,Whole Blood,GTEX: Normal Tissue
16227,GTEX-ZZ64-0326-SM-5E45S,GTEX,11.51,Normal Tissue,Esophagus,GTEX: Normal Tissue
16230,GTEX-WL46-0011-R11A-SM-3MJFT,GTEX,7.46,Normal Tissue,Brain,GTEX: Normal Tissue
16231,GTEX-13JVG-1426-SM-5MR4W,GTEX,11.4,Normal Tissue,Lung,GTEX: Normal Tissue
16232,GTEX-S341-1226-SM-4AD5S,GTEX,13.39,Normal Tissue,Vagina,GTEX: Normal Tissue
16234,GTEX-13SLX-0526-SM-5S2ON,GTEX,13.03,Normal Tissue,Skin,GTEX: Normal Tissue
16236,GTEX-ZVP2-0226-SM-57WBD,GTEX,10.93,Normal Tissue,Adipose,GTEX: Normal Tissue
16245,GTEX-WYVS-1126-SM-4SOJX,GTEX,11.42,Normal Tissue,Colon,GTEX: Normal Tissue
16255,GTEX-XUW1-2326-SM-4BOO5,GTEX,11.87,Normal Tissue,Breast,GTEX: Normal Tissue
16260,GTEX-XYKS-2226-SM-4E3IU,GTEX,12.58,Normal Tissue,Colon,GTEX: Normal Tissue
16264,GTEX-13IVO-0011-R5a-SM-5L3CY,GTEX,10.49,Normal Tissue,Brain,GTEX: Normal Tissue
16265,GTEX-1399S-0126-SM-5IJCF,GTEX,13.87,Normal Tissue,Skin,GTEX: Normal Tissue
16268,GTEX-WHSE-0011-R5A-SM-3P5ZO,GTEX,11.06,Normal Tissue,Brain,GTEX: Normal Tissue
16269,GTEX-131XE-2626-SM-5PNYY,GTEX,12.12,Normal Tissue,Artery,GTEX: Normal Tissue
16270,GTEX-OOBK-0425-SM-3LK5O,GTEX,12.43,Normal Tissue,Artery,GTEX: Normal Tissue
16275,GTEX-SIU8-0826-SM-2XCDQ,GTEX,11.85,Normal Tissue,Heart,GTEX: Normal Tissue
16276,GTEX-R45C-0008-SM-48FF2,GTEX,11.28,Cell Line,Cells,GTEX: Cell Line
16279,GTEX-QESD-1426-SM-2S1R9,GTEX,13.23,Normal Tissue,Skin,GTEX: Normal Tissue
16282,GTEX-146FH-1726-SM-5QGQ2,GTEX,13.37,Normal Tissue,Esophagus,GTEX: Normal Tissue
16284,GTEX-WXYG-2026-SM-4E3IY,GTEX,13.52,Normal Tissue,Skin,GTEX: Normal Tissue
16286,GTEX-PWCY-2026-SM-2S1NF,GTEX,10.32,Normal Tissue,Muscle,GTEX: Normal Tissue
16289,GTEX-131YS-2226-SM-5P9G8,GTEX,11.55,Normal Tissue,Ovary,GTEX: Normal Tissue
16293,GTEX-Y8E4-1226-SM-5IFIM,GTEX,11.27,Normal Tissue,Adipose,GTEX: Normal Tissue
16295,GTEX-11ZUS-0011-R9b-SM-5BC76,GTEX,8.561,Normal Tissue,Brain,GTEX: Normal Tissue
16296,GTEX-T5JW-0726-SM-4DM6D,GTEX,12.89,Normal Tissue,Cervix,GTEX: Normal Tissue
16298,GTEX-11TT1-1426-SM-5EGIA,GTEX,12.24,Normal Tissue,Heart,GTEX: Normal Tissue
16303,GTEX-WY7C-2326-SM-3NB2U,GTEX,13.45,Normal Tissue,Skin,GTEX: Normal Tissue
16306,GTEX-WL46-0326-SM-3LK6Y,GTEX,10.88,Normal Tissue,Adipose,GTEX: Normal Tissue
16307,GTEX-S3XE-1526-SM-4AD5A,GTEX,11.64,Normal Tissue,Testis,GTEX: Normal Tissue
16308,GTEX-1399R-1926-SM-5K7X8,GTEX,11.85,Normal Tissue,Heart,GTEX: Normal Tissue
16309,GTEX-139TT-2126-SM-5LZWC,GTEX,13.57,Normal Tissue,Skin,GTEX: Normal Tissue
16313,GTEX-11P81-2626-SM-5GU6T,GTEX,13.12,Normal Tissue,Nerve,GTEX: Normal Tissue
16314,GTEX-13N11-0126-SM-5KM2Z,GTEX,9.318,Normal Tissue,Spleen,GTEX: Normal Tissue
16315,GTEX-11NUK-0426-SM-5HL5V,GTEX,13.4,Normal Tissue,Nerve,GTEX: Normal Tissue
16316,GTEX-QVJO-0326-SM-2S1R1,GTEX,12.47,Normal Tissue,Nerve,GTEX: Normal Tissue
16317,GTEX-14753-2526-SM-5LU97,GTEX,11.04,Normal Tissue,Adipose,GTEX: Normal Tissue
16319,GTEX-13PVQ-0626-SM-5LU47,GTEX,12.94,Normal Tissue,Skin,GTEX: Normal Tissue
16320,GTEX-11I78-1826-SM-5A5M4,GTEX,9.267,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
16323,GTEX-13O3Q-2826-SM-5KM2N,GTEX,11.66,Normal Tissue,Minor Salivary Gland,GTEX: Normal Tissue
16326,GTEX-RU72-2926-SM-2TF66,GTEX,10.13,Normal Tissue,Brain,GTEX: Normal Tissue
16327,GTEX-WYJK-1926-SM-4ONDP,GTEX,13.73,Normal Tissue,Esophagus,GTEX: Normal Tissue
16334,GTEX-11VI4-1226-SM-5EQMP,GTEX,11.37,Normal Tissue,Adipose,GTEX: Normal Tissue
16339,GTEX-13FTW-2326-SM-5K7YS,GTEX,10.11,Normal Tissue,Muscle,GTEX: Normal Tissue
16342,GTEX-11EQ8-1426-SM-5EGJR,GTEX,10.75,Normal Tissue,Testis,GTEX: Normal Tissue
16343,GTEX-ZVE2-0006-SM-51MRW,GTEX,9.022,Normal Tissue,Whole Blood,GTEX: Normal Tissue
16344,GTEX-XBED-1326-SM-4AT4F,GTEX,9.715,Normal Tissue,Adipose,GTEX: Normal Tissue
16345,GTEX-11EQ9-1026-SM-5H134,GTEX,12.24,Normal Tissue,Pancreas,GTEX: Normal Tissue
16347,GTEX-Z93S-0126-SM-5HL7M,GTEX,13.56,Normal Tissue,Skin,GTEX: Normal Tissue
16348,GTEX-WYJK-0726-SM-4ONC9,GTEX,10.18,Normal Tissue,Spleen,GTEX: Normal Tissue
16349,GTEX-13X6H-2526-SM-5QGOT,GTEX,12.52,Normal Tissue,Artery,GTEX: Normal Tissue
16350,GTEX-11GS4-0326-SM-5N9F7,GTEX,12.76,Normal Tissue,Artery,GTEX: Normal Tissue
16354,GTEX-13FTW-2626-SM-5K7WL,GTEX,14.32,Normal Tissue,Skin,GTEX: Normal Tissue
16359,GTEX-11EI6-2926-SM-5985U,GTEX,9.003,Normal Tissue,Brain,GTEX: Normal Tissue
16360,GTEX-Y8DK-0004-SM-4RGM7,GTEX,8.859,Cell Line,Cells,GTEX: Cell Line
16362,GTEX-14AS3-1126-SM-5Q5CR,GTEX,11.75,Normal Tissue,Colon,GTEX: Normal Tissue
16363,GTEX-13NZ9-1126-SM-5MR37,GTEX,12.86,Normal Tissue,Thyroid,GTEX: Normal Tissue
16365,GTEX-WY7C-2226-SM-4ONCS,GTEX,11.51,Normal Tissue,Testis,GTEX: Normal Tissue
16367,GTEX-SUCS-1926-SM-32PM3,GTEX,14.2,Normal Tissue,Skin,GTEX: Normal Tissue
16369,GTEX-11GSP-0126-SM-5A5KU,GTEX,12.08,Normal Tissue,Thyroid,GTEX: Normal Tissue
16375,GTEX-YEC4-2226-SM-5IFJT,GTEX,11.01,Normal Tissue,Muscle,GTEX: Normal Tissue
16376,GTEX-W5WG-2526-SM-4SOJ2,GTEX,10.31,Normal Tissue,Adipose,GTEX: Normal Tissue
16377,GTEX-131XW-1126-SM-5EGK4,GTEX,11.29,Normal Tissue,Lung,GTEX: Normal Tissue
16381,GTEX-117YX-0526-SM-5EGJH,GTEX,11.21,Normal Tissue,Colon,GTEX: Normal Tissue
16382,GTEX-1192X-0008-SM-5Q5B7,GTEX,11.38,Cell Line,Cells,GTEX: Cell Line
16383,GTEX-13FXS-0011-R10a-SM-5J2MA,GTEX,9.427,Normal Tissue,Brain,GTEX: Normal Tissue
16384,GTEX-S7SF-1026-SM-4AD4I,GTEX,11.48,Normal Tissue,Esophagus,GTEX: Normal Tissue
16385,GTEX-12KS4-2426-SM-5LU8P,GTEX,12.17,Normal Tissue,Colon,GTEX: Normal Tissue
16387,GTEX-11WQK-1026-SM-5EQLX,GTEX,12.97,Normal Tissue,Skin,GTEX: Normal Tissue
16389,GTEX-ZYVF-0226-SM-5GIEG,GTEX,10.18,Normal Tissue,Adipose,GTEX: Normal Tissue
16395,GTEX-13W3W-0626-SM-5LU45,GTEX,10.99,Normal Tissue,Artery,GTEX: Normal Tissue
16397,GTEX-PSDG-0008-SM-48TE5,GTEX,10.85,Cell Line,Cells,GTEX: Cell Line
16399,GTEX-13O3Q-0011-R4a-SM-5P9H2,GTEX,9.997,Normal Tissue,Brain,GTEX: Normal Tissue
16400,GTEX-1477Z-1126-SM-5P9GK,GTEX,12.26,Normal Tissue,Heart,GTEX: Normal Tissue
16402,GTEX-139TU-0006-SM-5LZVN,GTEX,8.275,Normal Tissue,Whole Blood,GTEX: Normal Tissue
16404,GTEX-QCQG-0326-SM-2I3ES,GTEX,12.78,Normal Tissue,Lung,GTEX: Normal Tissue
16413,GTEX-ZDTT-0526-SM-5HL4M,GTEX,9.769,Normal Tissue,Adipose,GTEX: Normal Tissue
16416,GTEX-S4Q7-0008-SM-3NM8A,GTEX,11.24,Cell Line,Cells,GTEX: Cell Line
16418,GTEX-YJ89-0726-SM-5P9F7,GTEX,12.83,Normal Tissue,Thyroid,GTEX: Normal Tissue
16421,GTEX-1445S-0011-R6b-SM-5PNUF,GTEX,11.44,Normal Tissue,Brain,GTEX: Normal Tissue
16422,GTEX-PX3G-3026-SM-48TZR,GTEX,11.67,Normal Tissue,Artery,GTEX: Normal Tissue
16423,GTEX-NPJ8-0326-SM-26GMG,GTEX,11.73,Normal Tissue,Lung,GTEX: Normal Tissue
16426,GTEX-13OW7-0426-SM-5K7VK,GTEX,13.19,Normal Tissue,Skin,GTEX: Normal Tissue
16429,GTEX-QXCU-0006-SM-2TC5K,GTEX,8.07,Normal Tissue,Whole Blood,GTEX: Normal Tissue
16456,GTEX-ZDYS-0002-SM-4WKGR,GTEX,9.723,Normal Tissue,Whole Blood,GTEX: Normal Tissue
16459,GTEX-WHPG-1226-SM-4M1ZI,GTEX,11.24,Normal Tissue,Esophagus,GTEX: Normal Tissue
16460,GTEX-11TT1-0004-SM-5S2NT,GTEX,8.211,Cell Line,Cells,GTEX: Cell Line
16461,GTEX-1122O-0726-SM-5GIEV,GTEX,12.12,Normal Tissue,Pancreas,GTEX: Normal Tissue
16462,GTEX-14BMV-1026-SM-5SI6B,GTEX,13.42,Normal Tissue,Heart,GTEX: Normal Tissue
16465,GTEX-132QS-1426-SM-5P9GE,GTEX,13.33,Normal Tissue,Esophagus,GTEX: Normal Tissue
16468,GTEX-13PVQ-0226-SM-5SIBG,GTEX,9.995,Normal Tissue,Adipose,GTEX: Normal Tissue
16472,GTEX-O5YV-0526-SM-26GN1,GTEX,11.09,Normal Tissue,Lung,GTEX: Normal Tissue
16474,GTEX-YJ8O-1126-SM-5P9IS,GTEX,11.93,Normal Tissue,Uterus,GTEX: Normal Tissue
16475,GTEX-X585-3126-SM-4QASH,GTEX,12.01,Normal Tissue,Pituitary,GTEX: Normal Tissue
16476,GTEX-139T6-1826-SM-5KM2E,GTEX,12.29,Normal Tissue,Artery,GTEX: Normal Tissue
16482,GTEX-132Q8-2926-SM-5IFFP,GTEX,10.47,Normal Tissue,Brain,GTEX: Normal Tissue
16484,GTEX-ZPU1-2326-SM-57WEP,GTEX,13.63,Normal Tissue,Minor Salivary Gland,GTEX: Normal Tissue
16487,GTEX-NL3H-0011-R5a-SM-2I3GB,GTEX,10.45,Normal Tissue,Brain,GTEX: Normal Tissue
16492,GTEX-1399T-0011-R11a-SM-5J2O1,GTEX,7.808,Normal Tissue,Brain,GTEX: Normal Tissue
16493,GTEX-ZAB4-2926-SM-57WCV,GTEX,9.808,Normal Tissue,Brain,GTEX: Normal Tissue
16496,GTEX-ZF29-2626-SM-4WWBA,GTEX,12.92,Normal Tissue,Nerve,GTEX: Normal Tissue
16497,GTEX-T6MN-0126-SM-32PLP,GTEX,14.24,Normal Tissue,Skin,GTEX: Normal Tissue
16498,GTEX-RTLS-0826-SM-2TF5Q,GTEX,11.54,Normal Tissue,Heart,GTEX: Normal Tissue
16502,GTEX-Y5V6-1726-SM-4VDSZ,GTEX,11.34,Normal Tissue,Testis,GTEX: Normal Tissue
16503,GTEX-Y8LW-0426-SM-4VBQ6,GTEX,12.47,Normal Tissue,Artery,GTEX: Normal Tissue
16512,GTEX-13N1W-0011-R9b-SM-5MR4R,GTEX,8.596,Normal Tissue,Brain,GTEX: Normal Tissue
16515,GTEX-139T6-1626-SM-5PNYZ,GTEX,10.47,Normal Tissue,Breast,GTEX: Normal Tissue
16517,GTEX-S7SF-2026-SM-3K2AS,GTEX,10.35,Normal Tissue,Muscle,GTEX: Normal Tissue
16518,GTEX-ZVP2-1326-SM-57WCE,GTEX,13.28,Normal Tissue,Esophagus,GTEX: Normal Tissue
16519,GTEX-T2IS-0226-SM-32QPH,GTEX,9.707,Normal Tissue,Adipose,GTEX: Normal Tissue
16521,GTEX-XUW1-1026-SM-4BONY,GTEX,13.06,Normal Tissue,Thyroid,GTEX: Normal Tissue
16522,GTEX-13111-0926-SM-5DUVQ,GTEX,11.57,Normal Tissue,Esophagus,GTEX: Normal Tissue
16526,GTEX-XXEK-1626-SM-4BRUZ,GTEX,13.26,Normal Tissue,Skin,GTEX: Normal Tissue
16527,GTEX-WY7C-2726-SM-3NB3P,GTEX,10.31,Normal Tissue,Breast,GTEX: Normal Tissue
16530,GTEX-P78B-0226-SM-3NB1Z,GTEX,10.28,Normal Tissue,Adipose,GTEX: Normal Tissue
16531,GTEX-13VXT-0326-SM-5LU4U,GTEX,11.52,Normal Tissue,Muscle,GTEX: Normal Tissue
16540,GTEX-TSE9-2526-SM-4DXUS,GTEX,12.05,Normal Tissue,Vagina,GTEX: Normal Tissue
16541,GTEX-ZYFC-0526-SM-5GIDF,GTEX,10.82,Normal Tissue,Muscle,GTEX: Normal Tissue
16544,GTEX-POMQ-0826-SM-3P61H,GTEX,12.76,Normal Tissue,Stomach,GTEX: Normal Tissue
16546,GTEX-12ZZZ-0226-SM-59HKU,GTEX,11.02,Normal Tissue,Muscle,GTEX: Normal Tissue
16547,GTEX-11VI4-1926-SM-5CVLI,GTEX,10.99,Normal Tissue,Muscle,GTEX: Normal Tissue
16549,GTEX-PX3G-1526-SM-48U11,GTEX,12.04,Normal Tissue,Stomach,GTEX: Normal Tissue
16553,GTEX-13NZ9-0126-SM-5K7XV,GTEX,12.89,Normal Tissue,Heart,GTEX: Normal Tissue
16554,GTEX-ZT9W-0926-SM-57WFS,GTEX,11.97,Normal Tissue,Pancreas,GTEX: Normal Tissue
16557,GTEX-13OVL-0011-R9a-SM-5P9GX,GTEX,8.772,Normal Tissue,Brain,GTEX: Normal Tissue
16558,GTEX-12WSK-2126-SM-5CVNC,GTEX,12.98,Normal Tissue,Skin,GTEX: Normal Tissue
16559,GTEX-ZDYS-1526-SM-4WKFY,GTEX,12.78,Normal Tissue,Nerve,GTEX: Normal Tissue
16562,GTEX-RN64-0626-SM-2TC5V,GTEX,13.15,Normal Tissue,Thyroid,GTEX: Normal Tissue
16563,GTEX-12696-2726-SM-5FQUL,GTEX,12.09,Normal Tissue,Artery,GTEX: Normal Tissue
16564,GTEX-1192X-3026-SM-5N9BM,GTEX,10.7,Normal Tissue,Pituitary,GTEX: Normal Tissue
16568,GTEX-X585-1026-SM-46MW6,GTEX,12.35,Normal Tissue,Lung,GTEX: Normal Tissue
16571,GTEX-XQ8I-1526-SM-4BOOH,GTEX,13.85,Normal Tissue,Esophagus,GTEX: Normal Tissue
16574,GTEX-11NV4-0826-SM-5BC4S,GTEX,12.88,Normal Tissue,Heart,GTEX: Normal Tissue
16577,GTEX-ZXES-0004-SM-57WCW,GTEX,8.344,Cell Line,Cells,GTEX: Cell Line
16579,GTEX-QDVN-0726-SM-2I3FO,GTEX,11.93,Normal Tissue,Lung,GTEX: Normal Tissue
16581,GTEX-OOBJ-0926-SM-48TDO,GTEX,9.687,Normal Tissue,Spleen,GTEX: Normal Tissue
16582,GTEX-ZDTT-0926-SM-5J2MS,GTEX,12.36,Normal Tissue,Lung,GTEX: Normal Tissue
16584,GTEX-XAJ8-0008-SM-46MU7,GTEX,11.13,Cell Line,Cells,GTEX: Cell Line
16585,GTEX-PVOW-0011-R1A-SM-32PL6,GTEX,8.656,Normal Tissue,Brain,GTEX: Normal Tissue
16587,GTEX-12BJ1-0003-SM-5SI6V,GTEX,8.402,Cell Line,Cells,GTEX: Cell Line
16592,GTEX-WOFL-0626-SM-3MJG3,GTEX,11.37,Normal Tissue,Muscle,GTEX: Normal Tissue
16593,GTEX-OHPL-0526-SM-3NM8U,GTEX,11.75,Normal Tissue,Lung,GTEX: Normal Tissue
16594,GTEX-OXRK-0326-SM-2YUMQ,GTEX,11.14,Normal Tissue,Adipose,GTEX: Normal Tissue
16597,GTEX-ZYT6-1426-SM-5E43U,GTEX,12.86,Normal Tissue,Nerve,GTEX: Normal Tissue
16602,GTEX-Y111-0426-SM-4TT3K,GTEX,12.27,Normal Tissue,Artery,GTEX: Normal Tissue
16606,GTEX-SIU7-0526-SM-3NM8I,GTEX,11.13,Normal Tissue,Lung,GTEX: Normal Tissue
16608,GTEX-X8HC-2326-SM-4QAS4,GTEX,10.7,Normal Tissue,Adipose,GTEX: Normal Tissue
16616,GTEX-X3Y1-0726-SM-3P5YU,GTEX,12.31,Normal Tissue,Pancreas,GTEX: Normal Tissue
16617,GTEX-ZT9X-0226-SM-51MT2,GTEX,12.26,Normal Tissue,Thyroid,GTEX: Normal Tissue
16623,GTEX-QLQ7-1126-SM-4R1KN,GTEX,11.38,Normal Tissue,Colon,GTEX: Normal Tissue
16624,GTEX-131XW-0626-SM-5PNVD,GTEX,13.04,Normal Tissue,Skin,GTEX: Normal Tissue
16625,GTEX-117YX-0626-SM-5EGJI,GTEX,12.73,Normal Tissue,Heart,GTEX: Normal Tissue
16626,GTEX-ZPIC-0626-SM-57WDY,GTEX,12.33,Normal Tissue,Lung,GTEX: Normal Tissue
16628,GTEX-131XH-2926-SM-5LZU4,GTEX,8.168,Normal Tissue,Brain,GTEX: Normal Tissue
16631,GTEX-UJHI-0926-SM-4IHKF,GTEX,12.36,Normal Tissue,Esophagus,GTEX: Normal Tissue
